"","ID","gender","order","experiment","difficulty","falseAlarm","trial","decide","trial.start.time","signal","humanResp","humanRT","autoResp","autoRT","ACC","stimlength","RTor","RTand","condition"
"125",5,"Female",4,"n/a","easy","n/a",5,"NO AID",624.74119091,1,0,0.321995973587,1,0.25,0,2.93454230077,0.25,0.321995973587,1
"126",5,"Female",4,"n/a","easy","n/a",6,"NO AID",626.070489883,1,0,0.49668598175,1,0.25,0,2.85036370978,0.25,0.49668598175,1
"127",5,"Female",4,"n/a","easy","n/a",7,"NO AID",627.576516867,1,1,0.150689125061,1,0.25,1,2.5513322707,0.150689125061,0.25,1
"128",5,"Female",4,"n/a","easy","n/a",8,"NO AID",628.741039038,0,1,0.0501530170441,0,0.25,0,2.49254114422,0.0501530170441,0.25,1
"129",5,"Female",4,"n/a","easy","n/a",9,"NO AID",629.799860001,0,1,0.319308042526,0,0.25,0,2.14961384374,0.25,0.319308042526,1
"130",5,"Female",4,"n/a","easy","n/a",10,"NO AID",631.129128933,0,1,0.358103990555,0,0.25,0,2.21047130176,0.25,0.358103990555,1
"131",5,"Female",4,"n/a","easy","n/a",11,"NO AID",632.493861914,0,0,0.0413639545441,0,0.25,1,2.02842022454,0.0413639545441,0.25,1
"132",5,"Female",4,"n/a","easy","n/a",12,"NO AID",633.552639961,1,0,0.0465939044952,1,0.25,0,2.95597762934,0.0465939044952,0.25,1
"133",5,"Female",4,"n/a","easy","n/a",13,"NO AID",634.611465931,0,1,0.155776023865,0,0.25,0,2.1167032269,0.155776023865,0.25,1
"134",5,"Female",4,"n/a","easy","n/a",14,"NO AID",635.776059866,0,0,0.287193059921,0,0.25,1,2.09020907964,0.25,0.287193059921,1
"135",5,"Female",4,"n/a","easy","n/a",15,"NO AID",637.070266962,0,0,0.288993835449,0,0.25,1,2.39727764197,0.25,0.288993835449,1
"136",5,"Female",4,"n/a","easy","n/a",16,"NO AID",638.376138926,0,0,0.327110052109,0,0.25,1,2.17876196622,0.25,0.327110052109,1
